"Price","Mileage","City","State","Make","Model","vehicle age"
"35900","3440","Austin"," TX","Acura","TLXFWD","3.0"
"44589","3466","Roswell"," GA","Acura","MDXFWD","3.0"
"47995","3471","Brentwood"," TN","Acura","MDXSH-AWD","3.0"
"36991","3475","Chicago"," IL","Acura","RDXAWD","3.0"
"26599","3476","Dallas"," TX","Acura","ILXPremium","3.0"
"46995","3485","Roslyn"," NY","Acura","MDXSH-AWD","3.0"
"27440","3490","Reading"," PA","Acura","TLXFWD","4.0"
"37471","3508","Woodside"," NY","Acura","RDXAWD","3.0"
"20900","3524","Doral"," FL","Acura","ILX5-Speed","5.0"
"51771","3532","Naperville"," IL","Acura","MDXSH-AWD","3.0"
"31595","3537","Fort Worth"," TX","Acura","TLXFWD","3.0"
"28995","3560","Brentwood"," TN","Acura","TLXFWD","3.0"
"38995","3568","Cerritos"," CA","Acura","RDXFWD","3.0"
"29900","3575","Chesapeake"," VA","Acura","RDXFWD","3.0"
"22548","3577","Larchmont"," NY","Acura","ILXAutomatic","3.0"
"23495","3577","Cleveland"," OH","Acura","ILXAutomatic","3.0"
"45518","3593","Duluth"," GA","Acura","MDXSH-AWD","3.0"
"35770","3598","Reading"," PA","Acura","TLXFWD","3.0"
"34900","3613","Austin"," TX","Acura","RDXFWD","3.0"
"37595","3620","Scarsdale"," NY","Acura","RDXAWD","3.0"
"27590","3622","Clearwater"," FL","Acura","TLXFWD","3.0"
"39995","3636","Brentwood"," TN","Acura","TLXFWD","3.0"
"23399","3646","Windsor"," CO","Acura","TLXFWD","5.0"
"57771","3684","Naperville"," IL","Acura","MDXSH-AWD","3.0"
"36500","3696","Peoria"," AZ","Acura","RDXAWD","3.0"
"46900","3702","Chicago"," IL","Acura","MDXSH-AWD","3.0"
"43998","3716","Roswell"," GA","Acura","MDXFWD","3.0"
"24678","3725","Tucson"," AZ","Acura","ILXAutomatic","3.0"
"52597","3727","Reading"," PA","Acura","MDXSH-AWD","3.0"
"28927","3745","Overland Park"," KS","Acura","TLXFWD","3.0"
"41595","3746","Scarsdale"," NY","Acura","MDXSH-AWD","3.0"
"37995","3760","Scarsdale"," NY","Acura","RDXAWD","3.0"
"28991","3762","Fremont"," CA","Acura","TLXFWD","3.0"
"31475","3767","Salt Lake City"," UT","Acura","TLXFWD","4.0"
"31000","3768","Peoria"," AZ","Acura","RDXFWD","3.0"
"23000","3771","St Louis"," MO","Acura","ILXAutomatic","3.0"
"43969","3776","Hoffman Estates"," IL","Acura","MDXSH-AWD","3.0"
"32077","3777","Larchmont"," NY","Acura","TLXFWD","3.0"
"36995","3782","Roslyn"," NY","Acura","RDXAWD","3.0"
"46660","3786","Colorado Springs"," CO","Acura","MDXSH-AWD","3.0"
"32421","3790","Bowie"," MD","Acura","TLXSH-AWD","3.0"
"33990","3803","Wilmington"," NC","Acura","RDXFWD","3.0"
"50771","3805","Naperville"," IL","Acura","MDXSH-AWD","3.0"
"33993","3825","North Miami"," FL","Acura","RDXFWD","3.0"
"24994","3834","Ardmore"," PA","Acura","TLXFWD","3.0"
"36995","3842","Brentwood"," TN","Acura","RDXFWD","3.0"
"24500","3855","Peoria"," AZ","Acura","ILXPremium","3.0"
"39995","3855","Brentwood"," TN","Acura","RDXAWD","3.0"
"29995","3859","West Nyack"," NY","Acura","TLXFWD","3.0"
"33995","3866","Brentwood"," TN","Acura","RDXAWD","3.0"
"36420","3879","West Chester"," PA","Acura","RDXAWD","3.0"
"21994","3887","Plantation"," FL","Acura","ILXAutomatic","3.0"
"28991","3893","Tempe"," AZ","Acura","TLXFWD","3.0"
"21955","3894","Canton"," CT","Acura","ILXAutomatic","3.0"
"38687","3900","Colorado Springs"," CO","Acura","RDXAWD","3.0"
"31062","3910","Larchmont"," NY","Acura","TLXFWD","3.0"
"30995","3918","Brentwood"," TN","Acura","ILXTechnology","3.0"
"22999","3947","Miami"," FL","Acura","ILXAutomatic","3.0"
"24995","3950","Brentwood"," TN","Acura","ILXAutomatic","3.0"
"53993","3953","Wichita"," KS","Acura","MDXSH-AWD","3.0"
"29900","3955","Oklahoma City"," OK","Acura","TLXFWD","3.0"
"35694","3973","Ardmore"," PA","Acura","RDXAWD","3.0"
"44595","3974","West Nyack"," NY","Acura","MDXSH-AWD","3.0"
"36995","3985","Brentwood"," TN","Acura","RDXFWD","3.0"
"31996","3990","League City"," TX","Acura","TLXFWD","3.0"
"31983","4002","Boulder"," CO","Acura","TLXSH-AWD","5.0"
"32000","4011","Tempe"," AZ","Acura","RDXFWD","3.0"
"53177","4012","Morton Grove"," IL","Acura","MDXSH-AWD","3.0"
"35969","4021","Hoffman Estates"," IL","Acura","RDXAWD","3.0"
"32981","4022","Bethesda"," MD","Acura","TLXFWD","3.0"
"26000","4023","Arlington"," TX","Acura","ILXPremium","3.0"
"54515","4040","Bethesda"," MD","Acura","MDXSport","3.0"
"49991","4044","Cleveland"," OH","Acura","MDXSH-AWD","3.0"
"24888","4045","Playa Vista"," CA","Acura","TLXFWD","4.0"
"26599","4058","Dallas"," TX","Acura","ILXPremium","3.0"
"32991","4059","Sarasota"," FL","Acura","RDXFWD","3.0"
"36990","4068","Chapel Hill"," NC","Acura","RDXFWD","3.0"
"45939","4075","Hoffman Estates"," IL","Acura","MDXSH-AWD","3.0"
